ticker,date,ratio,side,final_status
AAPL,2025-11-11,0.0395391406032765,pass,pass
MSFT,2025-11-11,0.0,pass,pass
NVDA,2025-11-11,0.0507940861328565,pass,pass
GOOGL,2025-11-11,0.007324590669064,pass,pass
AAPL,2025-11-11,0.0338554009639276,pass,pass
MSFT,2025-11-11,0.0148501284762622,pass,pass
NVDA,2025-11-11,0.0037274361898938,pass,pass
GOOGL,2025-11-11,0.0148592466993584,pass,pass
AAPL,2025-11-11,0.0338554009639276,pass,pass
MSFT,2025-11-11,0.0148501284762622,pass,pass
NVDA,2025-11-11,0.0037274361898938,pass,pass
GOOGL,2025-11-11,0.0148592466993584,pass,pass
AAPL,2025-11-13,0.0338554009639276,pass,pass
MSFT,2025-11-13,0.0148501284762622,pass,pass
NVDA,2025-11-13,0.0037274361898938,pass,pass
GOOGL,2025-11-13,0.014859246699358486,pass,pass
