entry_date,n_long,port_fwd5d_ret
2025-05-19,20,-0.014728042973373873
2025-05-20,20,-0.027225074403932938
2025-05-21,20,0.02065295188326156
2025-05-22,20,-0.008723757361860702
2025-05-23,20,0.008146827921096245
2025-05-27,20,0.004671434472114333
2025-05-28,20,0.02483674743850205
2025-05-29,20,0.01614054726410464
2025-05-30,20,0.038026760369769014
2025-06-02,20,0.030364114862368858
2025-06-03,20,0.01900098986458635
2025-06-04,20,0.01791776769498808
2025-06-05,20,0.021796003148014116
2025-06-06,20,-0.0004372107474392817
2025-06-09,20,0.0055330851214773265
2025-06-10,20,0.0011973701883427502
2025-06-11,20,-0.009077806669424454
2025-06-12,20,-0.024015244163764864
2025-06-13,20,0.0133760763880235
2025-06-16,20,0.004108077112161429
2025-06-17,20,0.025416097957815614
2025-06-18,20,0.028815883070958465
2025-06-20,20,0.03905834537008469
2025-06-23,20,0.03157152592678414
2025-06-24,20,0.021122315724072926
2025-06-25,20,0.028551452327801624
2025-06-26,20,0.02010517511048555
2025-06-27,20,0.016532067570256177
2025-06-30,20,0.014163143193809425
2025-07-01,20,-0.006797406020409935
2025-07-02,20,-0.002484840460520271
2025-07-03,20,-0.0006893498360322104
2025-07-07,20,0.01643887066744984
2025-07-08,20,0.006526060052640714
2025-07-09,20,-0.0002687103295460236
2025-07-10,20,0.012033592770924122
2025-07-11,20,0.00866418719295028
2025-07-14,20,-0.00022910027183724037
2025-07-15,20,0.030792255317029327
2025-07-16,20,0.034917000673908405
2025-07-17,20,0.025622677589729047
2025-07-18,20,0.004843256582790478
2025-07-21,20,0.01875720126716799
2025-07-22,20,0.028933746738685186
2025-07-23,20,-0.021109457434842466
2025-07-24,20,-0.041569328904142215
2025-07-25,20,-0.04570872957741847
2025-07-28,20,-0.033456524304363085
2025-07-29,20,-0.03695174578568326
2025-07-30,20,-0.012239222315976423
2025-07-31,20,-7.348745836110448e-05
2025-08-01,20,0.012694125327796717
2025-08-04,20,0.007197133762405767
2025-08-05,20,-0.01585627352666173
2025-08-06,20,0.02123463541876946
2025-08-07,20,0.028860243401071174
2025-08-08,20,0.041357650528999715
2025-08-11,20,0.06680593183823821
2025-08-12,20,0.03206278307817402
2025-08-13,20,0.012809587154437146
2025-08-14,20,0.015571643804380763
2025-08-15,20,0.009498057659866933
2025-08-18,20,0.004968449632361311
2025-08-19,20,0.008961787231126717
2025-08-20,20,0.019056573331015198
2025-08-21,20,0.027200510763741758
2025-08-22,20,-0.01097153876031493
2025-08-25,20,-0.021386052774926907
2025-08-26,20,0.0059897506688423915
2025-08-27,20,0.0014643445937358001
2025-08-28,20,0.011774346927510055
2025-08-29,20,0.02891382195317873
2025-09-02,20,0.01595891526765657
2025-09-03,20,0.0163672952979118
2025-09-04,20,0.014440486330826858
2025-09-05,20,0.006531165135789369
2025-09-08,20,0.0031933088824838253
2025-09-09,20,0.008138830641750461
2025-09-10,20,0.04354042786637752
2025-09-11,20,0.00950224193425384
2025-09-12,20,0.008957858128702773
2025-09-15,20,0.0023527421698973927
2025-09-16,20,0.0016087348897796505
2025-09-17,20,-0.005398845353545884
2025-09-18,20,-0.01816781607496244
2025-09-19,20,0.0048438991215962015
2025-09-22,20,0.009725491406325216
2025-09-23,20,0.005159812626952187
2025-09-24,20,0.01419563362460185
2025-09-25,20,0.02197282975351326
2025-09-26,20,0.04873633192141768
2025-09-29,20,0.009959300452634573
2025-09-30,20,0.02001826743549176
2025-10-01,20,0.0044878992393367345
2025-10-02,20,-0.019755306248660082
2025-10-03,20,-0.03365994317413457
2025-10-06,20,-0.01628349580166062
2025-10-07,20,-0.010617674667084381
2025-10-08,20,-0.02052632186799929
2025-10-09,20,-0.004171203839317817
2025-10-10,20,0.04626330811431816
2025-10-13,20,0.017303470287529127
2025-10-14,20,0.02313526154865959
2025-10-15,20,0.02222585764860178
2025-10-16,20,0.020854263694084486
2025-10-17,20,0.008419755011890467
2025-10-20,20,0.020334911040878745
2025-10-21,20,0.03164285296876186
2025-10-22,20,0.011969896844122451
2025-10-23,20,-0.018812674163809568
2025-10-24,20,-0.00552051010187547
2025-10-27,20,-0.046688188761227586
2025-10-28,20,-0.02979224570901439
2025-10-29,20,0.004091492796095564
2025-10-30,20,-0.010572023852463674
2025-10-31,20,0.01117420731290672
2025-11-03,20,-0.007987174092656013
2025-11-04,20,0.017575900938043853
2025-11-05,20,0.02355101338384929
2025-11-06,20,-0.00637096274958493
2025-11-07,20,-0.005149248698665537
