ticker,side,shares,price,notional,est_txn_cost
BLDR,BUY,48,104.11499786376952,4997.519897460937,2.498759948730468
CHEOY,BUY,56,89.12999725341797,4991.279846191406,2.495639923095703
CLS,BUY,16,295.3901062011719,4726.24169921875,2.363120849609375
CPRT,BUY,122,40.95000076293945,4995.900093078613,2.4979500465393065
CSX,BUY,143,34.86000061035156,4984.980087280273,2.492490043640137
DQJCY,BUY,406,12.300000190734863,4993.8000774383545,2.4969000387191773
EXPGY,BUY,114,43.59000015258789,4969.2600173950195,2.48463000869751
ICLR,BUY,31,159.2949981689453,4938.144943237305,2.4690724716186523
JHX,BUY,300,16.635000228881836,4990.500068664551,2.4952500343322757
KDP,BUY,185,26.94499969482422,4984.8249435424805,2.49241247177124
KVUE,BUY,298,16.760000228881836,4994.480068206787,2.4972400341033936
LII,BUY,10,475.6799926757813,4756.799926757813,2.378399963378907
MPNGY,BUY,195,25.600000381469727,4992.000074386597,2.496000037193298
NOK,BUY,740,6.755000114440918,4998.700084686279,2.49935004234314
PCH,BUY,126,39.665000915527344,4997.790115356445,2.4988950576782227
RCRUY,BUY,478,10.4399995803833,4990.319799423218,2.495159899711609
SMCI,BUY,139,35.949798583984375,4997.022003173828,2.4985110015869143
STX,BUY,19,255.17999267578125,4848.419860839844,2.424209930419922
SW,BUY,147,33.840999603271484,4974.626941680908,2.487313470840454
UCBJY,BUY,38,128.42999267578125,4880.3397216796875,2.440169860839844
